detector,threshold,tpr,fpr,auc
rule_based,0.0,1.0,1.0,2.0833
rule_based,0.7,0.4444,0.0,2.0833
rule_based,0.65,0.5,0.0,2.0833
rule_based,0.6,0.5556,0.0,2.0833
rule_based,0.5,0.6667,0.0,2.0833
rule_based,0.45,0.7222,0.0,2.0833
rule_based,0.0,1.0,1.0,2.0833
rule_based,1.0,0.0,0.0,2.0833
entailment,0.0,1.0,1.0,1.0318
entailment,5.873,0.0556,0.0,1.0318
entailment,5.565,0.1111,0.0,1.0318
entailment,4.45,0.1667,0.0,1.0318
entailment,4.377,0.1667,0.1429,1.0318
entailment,4.271,0.1667,0.2857,1.0318
entailment,4.245,0.2222,0.2857,1.0318
entailment,4.192,0.2778,0.2857,1.0318
entailment,3.837,0.3333,0.2857,1.0318
entailment,3.481,0.3333,0.4286,1.0318
entailment,3.478,0.3889,0.4286,1.0318
entailment,3.286,0.3889,0.5714,1.0318
entailment,2.971,0.4444,0.5714,1.0318
entailment,1.852,0.4444,0.7143,1.0318
entailment,1.426,0.4444,0.8571,1.0318
entailment,0.569,0.5,0.8571,1.0318
entailment,0.536,0.5556,0.8571,1.0318
entailment,0.519,0.6111,0.8571,1.0318
entailment,0.459,0.6667,0.8571,1.0318
entailment,0.42,0.7222,0.8571,1.0318
entailment,0.3,1.0,1.0,1.0318
entailment,1.0,0.4444,0.8571,1.0318
llm_judge,0.0,1.0,1.0,0.0
llm_judge,1.0,0.2222,1.0,0.0
llm_judge,0.9,0.7778,1.0,0.0
llm_judge,0.8,1.0,1.0,0.0
llm_judge,1.0,0.2222,1.0,0.0
